# nproc, nthreads, time
1,1,66.420332,
1,2,33.319687,
1,3,22.240010,
1,4,16.683463,
1,5,13.346199,
1,6,11.190348,
1,7,9.572410,
1,8,8.387235,
1,9,7.514038,
1,10,6.740847,
1,11,6.152634,
1,12,5.685406,
1,13,5.232079,
1,14,4.900838,
1,15,4.572843,
1,16,4.312251,
1,17,4.050519,
1,18,3.850106,
1,19,3.652047,
1,20,3.452941,
1,21,3.317091,
1,22,3.187570,
1,23,3.052495,
1,24,2.925448,
1,25,2.789429,
1,26,2.719898,
1,27,2.669095,
1,28,2.527954,
1,29,2.457426,
1,30,2.389138,
1,31,2.316225,
1,32,2.253778,
1,33,2.201206,
1,34,2.129432,
1,35,2.066206,
1,36,1.997923,
1,37,1.998812,
1,38,1.929389,
1,39,1.866524,
1,40,1.807807,
1,41,1.800281,
1,42,1.733335,
1,43,1.730917,
1,44,1.683716,
1,45,1.667659,
1,46,1.606912,
1,47,1.599989,
1,48,1.542512,
1,49,1.545723,
1,50,1.475352,
1,51,1.477957,
1,52,1.474717,
1,53,1.428995,
1,54,1.435338,
1,55,1.407450,
1,56,1.353444,
1,57,1.344958,
1,58,1.346406,
1,59,1.314219,
1,60,1.295326,
1,61,1.281545,
1,62,1.286565,
1,63,1.232213,
1,64,1.218124,
