# nprocs, nthreads, total, comm, grid, idle, write
1,16,17.552152,0.002131,17.468795,1.152781,0.064947
1,16,17.569878,0.002810,17.477894,1.237137,0.070694
1,16,17.568173,0.002490,17.482860,1.215131,0.066503
1,16,17.563463,0.002182,17.480754,1.045454,0.063688
1,16,17.576265,0.002318,17.489013,1.117310,0.064254
2,16,8.780555,0.056601,8.689609,1.020956,0.069216
2,16,8.779089,0.053539,8.688102,1.056223,0.067918
2,16,8.779434,0.059623,8.687193,1.058315,0.069238
2,16,8.772577,0.054460,8.685395,1.034757,0.064238
2,16,8.777500,0.047756,8.680780,1.059101,0.070880
3,16,7.426599,2.559737,5.710245,2.601468,1.719427
3,16,7.572895,2.656808,5.714461,2.682563,1.864608
3,16,7.481953,2.637709,5.716592,2.682216,1.770053
3,16,7.562339,2.668598,5.733598,2.692505,1.835806
3,16,7.623787,2.718395,5.739525,2.739500,1.888689
4,16,6.357542,1.895362,4.249055,1.917975,2.093064
4,16,6.068373,1.948785,4.248360,1.967068,1.809623
4,16,6.302154,2.001348,4.249874,2.029376,2.033698
4,16,6.208736,1.983822,4.248140,2.038497,1.952540
4,16,6.116844,1.934786,4.250991,1.975254,1.838852
5,16,5.344807,1.633452,3.367309,1.673309,1.986526
5,16,5.396663,1.631391,3.366687,1.678993,2.034457
5,16,5.217305,1.633748,3.368005,1.682564,1.856715
5,16,5.204495,1.625223,3.361518,1.667859,1.853624
5,16,5.181146,1.618354,3.362738,1.680694,1.806232
6,16,4.515776,1.380807,2.794996,1.396842,1.705525
6,16,4.725762,1.356733,2.793027,1.385178,1.929464
6,16,4.551211,1.337734,2.794456,1.406503,1.735124
6,16,4.547766,1.350786,2.794757,1.384193,1.744440
6,16,4.533759,1.364650,2.793486,1.395594,1.730343
7,16,4.147326,1.159478,2.390794,1.180471,1.756951
7,16,4.299420,1.178774,2.392116,1.192836,1.890142
7,16,4.227417,1.176126,2.391846,1.196312,1.825266
7,16,4.125938,1.157774,2.392176,1.185414,1.735467
7,16,4.222121,1.150240,2.390640,1.175177,1.836886
8,16,4.144188,1.039650,2.097031,1.042155,2.040052
8,16,4.059042,1.077747,2.123590,1.080106,1.927500
8,16,4.107682,1.032018,2.096366,1.034327,2.004774
8,16,4.246483,1.031247,2.097948,1.033541,2.144198
8,16,4.241445,1.042507,2.098406,1.044750,2.140901
